epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,538.724,0.58645,2.71537,1.15751,0.00352,1,0.58183,0.55314,0.31077,3.12589,0.91102,0.00018337,0.00018337,0.00018337
2,875.595,0.51874,1.83135,1.08028,0.00352,1,0.50764,0.45021,0.44681,3.04033,1.04863,0.000375818,0.000375818,0.000375818
3,1219.68,0.57752,1.56773,1.10805,0.37186,0.5875,0.70428,0.6202,0.50194,2.61001,1.12107,0.000560345,0.000560345,0.000560345
4,1603.18,0.52663,1.43028,1.07598,0.64789,0.65,0.648,0.47128,0.74406,2.68433,1.36955,0.000736951,0.000736951,0.000736951
5,2036.5,0.53347,1.32155,1.07817,0.66612,0.66264,0.72808,0.50911,0.70135,2.59377,1.17158,0.000905634,0.000905634,0.000905634
6,2424.84,0.61921,1.42814,1.13705,0.66372,0.6375,0.70196,0.56765,0.61062,2.2596,1.25499,0.0010664,0.0010664,0.0010664
7,2858.84,0.62056,1.39548,1.12485,0.61909,0.825,0.78951,0.53766,0.82326,2.39572,1.35002,0.00121924,0.00121924,0.00121924
8,3339.43,0.60394,1.17597,1.11024,0.55383,0.7375,0.64136,0.44288,1.04303,2.59812,1.59553,0.00136416,0.00136416,0.00136416
9,3784.97,0.65904,1.22454,1.11681,0.48614,0.84842,0.68221,0.46122,0.81616,2.63748,1.33679,0.00140295,0.00140295,0.00140295
10,4160.01,0.70488,1.23599,1.13206,0.71069,0.29181,0.28709,0.18462,1.30776,3.7599,1.7791,0.00136994,0.00136994,0.00136994
11,4492.19,0.61138,1.0952,1.10497,0.64349,0.55584,0.43552,0.31439,1.04825,2.83727,1.7458,0.00133693,0.00133693,0.00133693
12,9199.68,0.62384,1.04728,1.11276,0.54958,0.79729,0.69797,0.53375,0.83015,2.15932,1.40506,0.00130393,0.00130393,0.00130393
13,9516.97,0.62719,1.03471,1.12695,0.69958,0.79708,0.85073,0.67894,0.67599,1.84087,1.2073,0.00127092,0.00127092,0.00127092
14,9831.97,0.60792,0.9841,1.10875,0.67334,0.98807,0.72052,0.58955,0.66596,2.18646,1.15631,0.00123791,0.00123791,0.00123791
15,10149.2,0.54291,0.93182,1.04393,0.61968,0.58207,0.6385,0.58777,0.50535,2.17958,1.01736,0.00120491,0.00120491,0.00120491
16,10459.8,0.5583,0.93495,1.07942,0.85145,0.92488,0.91187,0.82849,0.54894,1.30875,1.04626,0.0011719,0.0011719,0.0011719
17,10784.5,0.59753,0.93926,1.07832,0.85624,0.81646,0.91456,0.8021,0.59689,1.41275,1.07297,0.00113889,0.00113889,0.00113889
